Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2001","2001","kg","236625119.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2002","2002","kg","234123263.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2003","2003","kg","230454575.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2004","2004","kg","224189423.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2005","2005","kg","209998223.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2006","2006","kg","208011455.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2007","2007","kg","205404479.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2008","2008","kg","200674079.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2009","2009","kg","195943679.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2010","2010","kg","194471999.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2011","2011","kg","190792799.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2012","2012","kg","189005759.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2013","2013","kg","188585279.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2014","2014","kg","194577119.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2015","2015","kg","199833119.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2016","2016","kg","199833119.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72538","Amount excreted in manure (N content)","960","Cattle, dairy","2017","2017","kg","199412639.99999997","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1961","1961","kg","88617253.248","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1962","1962","kg","70091409.02399999","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1963","1963","kg","69098277.31199999","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1964","1964","kg","67540861.44","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1965","1965","kg","68010705.792","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1966","1966","kg","67781859.552","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1967","1967","kg","68665035.744","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1968","1968","kg","68956491.456","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1969","1969","kg","70004621.952","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1970","1970","kg","69458397.40799999","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1971","1971","kg","69245802.72","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1972","1972","kg","71179653.31199999","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1973","1973","kg","73362049.632","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1974","1974","kg","71360480.73599999","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1975","1975","kg","71082143.99999999","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1976","1976","kg","68159807.99999999","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1977","1977","kg","69757631.99999999","Fc","Calculated data"
"EMN","Livestock Manure","229","United Kingdom of Great Britain and Northern Ireland","72380","Manure left on pasture (N content)","960","Cattle, dairy","1978","1978","kg","71313407.99999999","Fc","Calculated data"
